param_classifier__criterion,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
entropy,3,sqrt,10,20,0.5366726296958855,0.5766871165644172,0.5549132947976878,0.5614035087719298,0.5423728813559322
entropy,3,sqrt,20,2,0.5366726296958855,0.5731895223420647,0.5547445255474452,0.5614035087719298,0.5423728813559322
entropy,3,sqrt,20,10,0.5366726296958855,0.5731895223420647,0.5547445255474452,0.5614035087719298,0.5423728813559322
entropy,3,sqrt,20,20,0.5366726296958855,0.5731895223420647,0.5547445255474452,0.5614035087719298,0.5423728813559322
entropy,3,log2,1,2,0.5616113744075829,0.5641618497109827,0.5480984340044742,0.5528089887640449,0.5619834710743802
entropy,3,log2,1,10,0.5616113744075829,0.5641618497109827,0.5480984340044742,0.5528089887640449,0.5619834710743802
entropy,3,log2,1,20,0.5616113744075829,0.5641618497109827,0.5480984340044742,0.5528089887640449,0.5619834710743802
entropy,3,log2,5,2,0.5602836879432624,0.5641618497109827,0.5458612975391499,0.5528089887640449,0.5633136094674556
entropy,3,log2,5,10,0.5602836879432624,0.5641618497109827,0.5458612975391499,0.5528089887640449,0.5633136094674556
entropy,3,log2,5,20,0.5602836879432624,0.5641618497109827,0.5458612975391499,0.5528089887640449,0.5633136094674556
entropy,3,log2,10,2,0.5602836879432624,0.5641618497109827,0.5409652076318743,0.5528089887640449,0.5619834710743802
entropy,3,log2,10,10,0.5602836879432624,0.5641618497109827,0.5409652076318743,0.5528089887640449,0.5619834710743802
entropy,3,log2,10,20,0.5602836879432624,0.5641618497109827,0.5409652076318743,0.5528089887640449,0.5619834710743802
entropy,3,log2,20,2,0.5602836879432624,0.5614849187935035,0.5407239819004525,0.5528089887640449,0.5619834710743802
entropy,3,log2,20,10,0.5602836879432624,0.5614849187935035,0.5407239819004525,0.5528089887640449,0.5619834710743802
entropy,3,log2,20,20,0.5602836879432624,0.5614849187935035,0.5407239819004525,0.5528089887640449,0.5619834710743802
entropy,5,,1,2,0.5916795069337443,0.6427503736920778,0.5902578796561605,0.6118012422360248,0.6318758815232722
entropy,5,,1,10,0.5916795069337443,0.6427503736920778,0.5902578796561605,0.6074766355140186,0.6318758815232722
entropy,5,,1,20,0.5916795069337443,0.6427503736920778,0.5902578796561605,0.6074766355140186,0.6318758815232722
entropy,5,,5,2,0.5916795069337443,0.6427503736920778,0.5902578796561605,0.584070796460177,0.6318758815232722
entropy,5,,5,10,0.5916795069337443,0.6427503736920778,0.5902578796561605,0.584070796460177,0.6318758815232722
entropy,5,,5,20,0.5916795069337443,0.6427503736920778,0.5902578796561605,0.584070796460177,0.6318758815232722
entropy,5,,10,2,0.5913312693498453,0.6404657933042213,0.5929078014184397,0.5849335302806499,0.6318758815232722
entropy,5,,10,10,0.5913312693498453,0.6404657933042213,0.5929078014184397,0.5849335302806499,0.6318758815232722
entropy,5,,10,20,0.5913312693498453,0.6404657933042213,0.5929078014184397,0.5849335302806499,0.6318758815232722
entropy,5,,20,2,0.5938461538461538,0.6404657933042213,0.5929078014184397,0.5849335302806499,0.6318758815232722
entropy,5,,20,10,0.5938461538461538,0.6404657933042213,0.5929078014184397,0.5849335302806499,0.6318758815232722
entropy,5,,20,20,0.5938461538461538,0.6404657933042213,0.5929078014184397,0.5849335302806499,0.6318758815232722
entropy,5,sqrt,1,2,0.5730659025787965,0.5943012211668928,0.5508365508365508,0.5718349928876245,0.592375366568915
entropy,5,sqrt,1,10,0.5742857142857143,0.5943012211668928,0.5501285347043702,0.571830985915493,0.5873715124816447
entropy,5,sqrt,1,20,0.5706447187928669,0.5850340136054422,0.5501285347043702,0.571830985915493,0.5873715124816447
entropy,5,sqrt,5,2,0.5698005698005698,0.5943012211668928,0.55198973042362,0.571830985915493,0.5873715124816447
entropy,5,sqrt,5,10,0.5698005698005698,0.5943012211668928,0.55198973042362,0.571830985915493,0.5873715124816447
entropy,5,sqrt,5,20,0.5706447187928669,0.5866302864938608,0.5517241379310345,0.571830985915493,0.5873715124816447
entropy,5,sqrt,10,2,0.5714285714285714,0.5850340136054422,0.5517241379310345,0.5722543352601156,0.5873715124816447
entropy,5,sqrt,10,10,0.5714285714285714,0.5850340136054422,0.5517241379310345,0.5722543352601156,0.5873715124816447
entropy,5,sqrt,10,20,0.5714285714285714,0.5850340136054422,0.5517241379310345,0.5722543352601156,0.5873715124816447
entropy,5,sqrt,20,2,0.557510148849797,0.5850340136054422,0.5512820512820513,0.5689655172413793,0.5896296296296296
entropy,5,sqrt,20,10,0.557510148849797,0.5850340136054422,0.5512820512820513,0.5689655172413793,0.5896296296296296
entropy,5,sqrt,20,20,0.557510148849797,0.5850340136054422,0.5512820512820513,0.5689655172413793,0.5896296296296296
entropy,5,log2,1,2,0.5878594249201278,0.6094946401225115,0.5722300140252454,0.5924855491329479,0.6115214180206795
entropy,5,log2,1,10,0.5878594249201278,0.6094946401225115,0.5722300140252454,0.5924855491329479,0.6115214180206795
entropy,5,log2,1,20,0.5869218500797448,0.6094946401225115,0.5730337078651685,0.5902578796561605,0.6115214180206795
entropy,5,log2,5,2,0.5888,0.6094946401225115,0.5730337078651685,0.586552217453505,0.6115214180206795
entropy,5,log2,5,10,0.5888,0.6094946401225115,0.5730337078651685,0.586552217453505,0.6115214180206795
entropy,5,log2,5,20,0.5869218500797448,0.6094946401225115,0.5730337078651685,0.5902578796561605,0.6115214180206795
entropy,5,log2,10,2,0.5897435897435898,0.6094946401225115,0.5730337078651685,0.5877318116975749,0.6092124814264487
entropy,5,log2,10,10,0.5897435897435898,0.6094946401225115,0.5730337078651685,0.5877318116975749,0.6092124814264487
entropy,5,log2,10,20,0.5897435897435898,0.6094946401225115,0.5730337078651685,0.5877318116975749,0.6092124814264487
entropy,5,log2,20,2,0.5873015873015873,0.6121212121212121,0.5730337078651685,0.5925925925925926,0.6273291925465838
entropy,5,log2,20,10,0.5873015873015873,0.6121212121212121,0.5730337078651685,0.5925925925925926,0.6273291925465838
entropy,5,log2,20,20,0.5873015873015873,0.6121212121212121,0.5730337078651685,0.5925925925925926,0.6273291925465838
entropy,7,,1,2,0.5783521809369951,0.6117274167987322,0.5936199722607489,0.5838150289017341,0.6226138032305433
entropy,7,,1,10,0.5797101449275363,0.6107594936708861,0.5916666666666667,0.5797101449275363,0.624633431085044
entropy,7,,1,20,0.5787781350482315,0.6136724960254372,0.5938375350140056,0.5884057971014492,0.6224188790560472
