param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
5,log2,5,2,200,0.6062407132243685,0.6451612903225806,0.6028571428571429,0.6206896551724138,0.6424242424242425
5,log2,5,2,300,0.6092124814264487,0.642089093701997,0.5988538681948424,0.6193921852387844,0.6445783132530121
5,log2,5,5,50,0.6062407132243685,0.640746500777605,0.6011560693641619,0.6180257510729614,0.6475903614457831
5,log2,5,5,100,0.6071428571428571,0.6483180428134556,0.60431654676259,0.6195965417867435,0.6456456456456456
5,log2,5,5,200,0.6062407132243685,0.6451612903225806,0.6028571428571429,0.6206896551724138,0.6424242424242425
5,log2,5,5,300,0.6092124814264487,0.642089093701997,0.5988538681948424,0.6193921852387844,0.6445783132530121
5,log2,5,10,50,0.6062407132243685,0.640746500777605,0.6011560693641619,0.6180257510729614,0.6475903614457831
5,log2,5,10,100,0.6071428571428571,0.6483180428134556,0.60431654676259,0.6195965417867435,0.6456456456456456
5,log2,5,10,200,0.6062407132243685,0.6451612903225806,0.6028571428571429,0.6206896551724138,0.6424242424242425
5,log2,5,10,300,0.6092124814264487,0.642089093701997,0.5988538681948424,0.6193921852387844,0.6445783132530121
7,sqrt,1,2,50,0.610062893081761,0.646875,0.6119402985074627,0.6064318529862175,0.660347551342812
7,sqrt,1,2,100,0.6018808777429467,0.647887323943662,0.6062407132243685,0.6170212765957447,0.6571879936808847
7,sqrt,1,2,200,0.60625,0.6477987421383647,0.6011904761904762,0.6255639097744361,0.6645569620253164
7,sqrt,1,2,300,0.6040688575899843,0.653125,0.6050670640834576,0.6291793313069909,0.6571428571428571
7,sqrt,1,5,50,0.6053042121684867,0.6507936507936508,0.6032689450222882,0.6195488721804512,0.6677165354330709
7,sqrt,1,5,100,0.603125,0.6509433962264151,0.6059701492537314,0.6231003039513677,0.6624405705229794
7,sqrt,1,5,200,0.6012461059190031,0.6519685039370079,0.6032689450222882,0.6263237518910741,0.6645468998410174
7,sqrt,1,5,300,0.6012461059190031,0.6499215070643642,0.6023738872403561,0.6342943854324734,0.6603174603174603
7,sqrt,1,10,50,0.6046511627906976,0.647887323943662,0.599406528189911,0.6232980332829047,0.6656101426307448
7,sqrt,1,10,100,0.6065318818040435,0.646875,0.600297176820208,0.6214177978883861,0.6656101426307448
7,sqrt,1,10,200,0.6028257456828885,0.6520376175548589,0.6083086053412463,0.6272727272727273,0.6708860759493671
7,sqrt,1,10,300,0.603125,0.6520376175548589,0.606508875739645,0.6274509803921569,0.6624405705229794
7,sqrt,3,2,50,0.6006191950464397,0.6467817896389325,0.6044444444444445,0.624048706240487,0.6645569620253164
7,sqrt,3,2,100,0.6030769230769231,0.6477093206951027,0.6053412462908012,0.6274509803921569,0.6656101426307448
7,sqrt,3,2,200,0.5993788819875776,0.6455696202531646,0.6032689450222882,0.6334841628959276,0.6687898089171974
7,sqrt,3,2,300,0.6003110419906688,0.6477093206951027,0.600297176820208,0.6325301204819277,0.6656101426307448
7,sqrt,3,5,50,0.6006191950464397,0.6467817896389325,0.6044444444444445,0.624048706240487,0.6645569620253164
7,sqrt,3,5,100,0.6030769230769231,0.6477093206951027,0.6053412462908012,0.6274509803921569,0.6656101426307448
7,sqrt,3,5,200,0.5993788819875776,0.6455696202531646,0.6032689450222882,0.6334841628959276,0.6687898089171974
7,sqrt,3,5,300,0.6003110419906688,0.6477093206951027,0.600297176820208,0.6325301204819277,0.6656101426307448
7,sqrt,3,10,50,0.6040061633281972,0.6448598130841121,0.5973254086181278,0.6130500758725341,0.6539074960127592
7,sqrt,3,10,100,0.6037151702786377,0.6509433962264151,0.6077844311377245,0.6212121212121212,0.6571879936808847
7,sqrt,3,10,200,0.5984496124031008,0.6467817896389325,0.6062407132243685,0.6253776435045317,0.6666666666666666
7,sqrt,3,10,300,0.6037151702786377,0.647887323943662,0.6053412462908012,0.6304675716440422,0.659270998415214
7,sqrt,5,2,50,0.6137071651090342,0.6551181102362205,0.6041666666666666,0.6255639097744361,0.6603174603174603
7,sqrt,5,2,100,0.6141975308641975,0.6540880503144654,0.6086956521739131,0.6253776435045317,0.6593059936908517
7,sqrt,5,2,200,0.6015503875968993,0.6458658346333853,0.6068759342301944,0.6295180722891566,0.6635071090047393
7,sqrt,5,2,300,0.5975232198142415,0.6479750778816199,0.6041666666666666,0.6265060240963856,0.6593059936908517
7,sqrt,5,5,50,0.6137071651090342,0.6551181102362205,0.6041666666666666,0.6255639097744361,0.6603174603174603
7,sqrt,5,5,100,0.6141975308641975,0.6540880503144654,0.6086956521739131,0.6253776435045317,0.6593059936908517
7,sqrt,5,5,200,0.6015503875968993,0.6458658346333853,0.6068759342301944,0.6295180722891566,0.6635071090047393
7,sqrt,5,5,300,0.5975232198142415,0.6479750778816199,0.6041666666666666,0.6265060240963856,0.6593059936908517
