param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,param_classifier__reg_lambda,param_classifier__subsample,param_classifier__subsample_freq,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0.01,3,100,31,7,0.6,1,0.5946745562130178,0.6352941176470588,0.6156028368794326,0.61212976022567,0.6636363636363637
0.01,3,100,31,7,0.8,1,0.6,0.6352941176470588,0.6091794158553546,0.6136363636363636,0.664624808575804
0.01,3,200,7,1,0.4,1,0.5994152046783626,0.6478454680534919,0.6070921985815603,0.6278409090909091,0.668693009118541
0.01,3,200,7,1,0.6,1,0.6017699115044248,0.6439169139465876,0.6051136363636364,0.6258890469416786,0.6646433990895296
0.01,3,200,7,1,0.8,1,0.6,0.6390532544378699,0.6078431372549019,0.624113475177305,0.6605783866057838
0.01,3,200,7,3,0.4,1,0.5985401459854015,0.6440177252584933,0.6070921985815603,0.6287339971550497,0.6666666666666666
0.01,3,200,7,3,0.6,1,0.6017699115044248,0.6410635155096012,0.6099290780141844,0.6195190947666195,0.6636363636363637
0.01,3,200,7,3,0.8,1,0.6,0.6390532544378699,0.6078431372549019,0.6223479490806223,0.6615853658536586
0.01,3,200,7,7,0.4,1,0.5994152046783626,0.6421207658321061,0.6062322946175638,0.6287339971550497,0.6626323751891074
0.01,3,200,7,7,0.6,1,0.6,0.638235294117647,0.6082036775106082,0.6203966005665722,0.6636363636363637
0.01,3,200,7,7,0.8,1,0.6014598540145986,0.6371681415929203,0.6095505617977528,0.6205923836389281,0.662613981762918
0.01,3,200,15,1,0.4,1,0.5973645680819912,0.6458333333333334,0.6062322946175638,0.6314285714285715,0.6656580937972768
0.01,3,200,15,1,0.6,1,0.6017699115044248,0.6439169139465876,0.6051136363636364,0.625,0.662613981762918
0.01,3,200,15,1,0.8,1,0.6,0.6410635155096012,0.6086956521739131,0.625,0.6615853658536586
0.01,3,200,15,3,0.4,1,0.5956204379562043,0.6449704142011834,0.6070921985815603,0.6314285714285715,0.6666666666666666
0.01,3,200,15,3,0.6,1,0.6017699115044248,0.6420118343195266,0.6099290780141844,0.6223479490806223,0.662613981762918
0.01,3,200,15,3,0.8,1,0.5991189427312775,0.642962962962963,0.6086956521739131,0.624113475177305,0.661608497723824
