param_classifier__depth,param_classifier__l2_leaf_reg,param_classifier__learning_rate,param_classifier__n_estimators,param_classifier__random_strength,param_classifier__subsample,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
3,1,0.1,300,1,0.6,0.6061538461538462,0.6584234930448223,0.613603473227207,0.6101190476190477,0.6687306501547987
3,1,0.1,300,1,0.8,0.6028257456828885,0.6415094339622641,0.5988200589970502,0.6246246246246246,0.6541471048513302
3,1,0.1,300,5,0.4,0.6057838660578386,0.6513056835637481,0.6057971014492753,0.6147058823529412,0.6605504587155964
3,1,0.1,300,5,0.6,0.5962732919254659,0.6635658914728683,0.6056129985228951,0.6079295154185022,0.6490683229813664
3,1,0.1,300,5,0.8,0.603125,0.6469673405909798,0.5955555555555555,0.6112759643916914,0.6573643410852713
3,3,0.01,50,1,0.4,0.5718015665796344,0.6371428571428571,0.5756756756756757,0.5986928104575163,0.6175637393767706
3,3,0.01,50,1,0.6,0.5832223701731025,0.636237897648686,0.5756756756756757,0.6002691790040376,0.6143057503506312
3,3,0.01,50,1,0.8,0.5832223701731025,0.649645390070922,0.5764546684709067,0.6059782608695652,0.614950634696756
3,3,0.01,50,5,0.4,0.5827633378932968,0.6299862448418156,0.5811732605729877,0.6190476190476191,0.620199146514936
3,3,0.01,50,5,0.6,0.5714285714285714,0.6310013717421125,0.5756756756756757,0.6057298772169167,0.6195190947666195
3,3,0.01,50,5,0.8,0.5867768595041323,0.6374829001367989,0.5835616438356165,0.6107290233837689,0.6143057503506312
3,3,0.01,100,1,0.4,0.5897079276773296,0.638109305760709,0.5795918367346938,0.6102150537634409,0.631578947368421
3,3,0.01,100,1,0.6,0.5941422594142259,0.6472303206997084,0.5808219178082191,0.6187845303867403,0.6318840579710145
3,3,0.01,100,1,0.8,0.5919778699861687,0.6472303206997084,0.5800273597811217,0.6104078762306611,0.6323529411764706
3,3,0.01,100,5,0.4,0.5836791147994468,0.6339410939691444,0.5875862068965517,0.6147426981919333,0.6219686162624821
3,3,0.01,100,5,0.6,0.5828729281767956,0.6359832635983264,0.5859697386519945,0.6104972375690608,0.6244604316546762
3,3,0.01,100,5,0.8,0.5895627644569816,0.6429587482219061,0.5867768595041323,0.6121883656509696,0.6246418338108882
3,3,0.01,200,1,0.4,0.6022727272727273,0.6447761194029851,0.5918653576437588,0.6179775280898876,0.6427503736920778
3,3,0.01,200,1,0.6,0.6065808297567954,0.6439169139465876,0.5943661971830986,0.6219686162624821,0.646795827123696
3,3,0.01,200,1,0.8,0.6019971469329529,0.6427503736920778,0.596045197740113,0.6183844011142061,0.6476761619190404
3,3,0.01,200,5,0.4,0.5952045133991537,0.6392045454545454,0.5883977900552486,0.6207865168539326,0.631578947368421
3,3,0.01,200,5,0.6,0.5912305516265912,0.6446043165467625,0.5902097902097903,0.6155988857938719,0.627906976744186
3,3,0.01,200,5,0.8,0.5949008498583569,0.6443148688046647,0.5910364145658263,0.6201117318435754,0.6371681415929203
3,3,0.01,300,1,0.4,0.6071942446043166,0.6526946107784432,0.5942857142857143,0.6162464985994398,0.6467065868263473
3,3,0.01,300,1,0.6,0.6064139941690962,0.6537313432835821,0.5951359084406295,0.6248216833095578,0.6515837104072398
3,3,0.01,300,1,0.8,0.6064139941690962,0.6508172362555721,0.5934379457917262,0.6205923836389281,0.6506024096385542
3,3,0.01,300,5,0.4,0.5968436154949784,0.6416184971098265,0.5921787709497207,0.6244725738396625,0.6428571428571429
3,3,0.01,300,5,0.6,0.5951359084406295,0.6431718061674009,0.594059405940594,0.6162464985994398,0.6389301634472511
3,3,0.01,300,5,0.8,0.60431654676259,0.6411764705882353,0.5915492957746479,0.6235955056179775,0.6388059701492538
3,3,0.05,50,1,0.4,0.6066763425253991,0.6468842729970327,0.5943661971830986,0.6226685796269728,0.6476761619190404
3,3,0.05,50,1,0.6,0.5982658959537572,0.6438152011922503,0.5925925925925926,0.62,0.6476761619190404
3,3,0.05,50,1,0.8,0.6040462427745664,0.6452554744525547,0.5952045133991537,0.6186440677966102,0.6447761194029851
3,3,0.05,50,5,0.4,0.6,0.6370157819225251,0.5877437325905293,0.6199158485273493,0.6334310850439883
