param_classifier__colsample_bytree,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__subsample,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0.8,0.01,5,1,200,0.6,0.6082949308755761,0.654434250764526,0.6017699115044248,0.6111951588502269,0.6603174603174603
0.8,0.01,5,1,200,0.8,0.6070878274268104,0.6452599388379205,0.6029411764705882,0.61698956780924,0.6571879936808847
0.8,0.01,5,1,300,0.4,0.6095238095238096,0.6573208722741433,0.6163141993957704,0.6118721461187214,0.659270998415214
0.8,0.01,5,1,300,0.6,0.6130030959752322,0.653250773993808,0.6056129985228951,0.6160849772382397,0.6613672496025437
0.8,0.01,5,1,300,0.8,0.6108527131782946,0.648062015503876,0.6076696165191741,0.6176911544227887,0.659270998415214
0.8,0.01,5,1,400,0.4,0.6048,0.6562009419152276,0.6139817629179332,0.6172465960665658,0.6603174603174603
0.8,0.01,5,1,400,0.6,0.6163522012578616,0.6562009419152276,0.6056971514242878,0.6072507552870091,0.6602870813397129
0.8,0.01,5,1,400,0.8,0.6112852664576802,0.6458658346333853,0.6083086053412463,0.6156156156156156,0.6550632911392406
0.8,0.01,5,3,100,0.4,0.6061538461538462,0.6574500768049155,0.6167664670658682,0.6336336336336337,0.6613924050632911
0.8,0.01,5,3,100,0.6,0.6048632218844985,0.6474164133738601,0.6085672082717873,0.6266866566716641,0.659270998415214
0.8,0.01,5,3,100,0.8,0.6055045871559633,0.6424242424242425,0.6153846153846154,0.6225563909774436,0.658307210031348
0.8,0.01,5,3,200,0.4,0.6043613707165109,0.6451612903225806,0.6126126126126126,0.6156156156156156,0.6656101426307448
0.8,0.01,5,3,200,0.6,0.6123076923076923,0.6513761467889908,0.6017699115044248,0.6195488721804512,0.6613672496025437
0.8,0.01,5,3,200,0.8,0.6092307692307692,0.647239263803681,0.6008836524300442,0.6216216216216216,0.6540284360189573
0.8,0.01,5,3,300,0.4,0.6037735849056604,0.6574074074074074,0.6153846153846154,0.6179604261796042,0.6624605678233438
0.8,0.01,5,3,300,0.6,0.6118012422360248,0.652241112828439,0.6053412462908012,0.6135338345864662,0.6603174603174603
0.8,0.01,5,3,300,0.8,0.6118012422360248,0.648062015503876,0.6061493411420205,0.6206896551724138,0.6551181102362205
0.8,0.01,5,3,400,0.4,0.6085578446909667,0.660377358490566,0.6191198786039454,0.6111951588502269,0.6582278481012658
0.8,0.01,5,3,400,0.6,0.6153846153846154,0.6551724137931034,0.6017964071856288,0.6102719033232629,0.6570972886762361
0.8,0.01,5,3,400,0.8,0.6158631415241057,0.6459627329192547,0.6076696165191741,0.6153846153846154,0.6529968454258676
0.8,0.01,5,5,100,0.4,0.6042944785276073,0.6470588235294118,0.6190476190476191,0.623688155922039,0.6581875993640699
